,accuracy,model,time_train,time_inference,scaling_name,dataset_name
324,0.9122807017543859,NB,0.0003075599670410156,7.176399230957031e-05,StandardScaler,breast_cancer_wisconsin_diagnostic
325,0.926509186351706,NB,0.0003921985626220703,9.179115295410156e-05,StandardScaler,breast_cancer_wisconsin_original
326,0.46153846153846156,NB,0.00030803680419921875,9.679794311523438e-05,StandardScaler,glass_identification
327,0.37362637362637363,NB,0.000301361083984375,9.202957153320312e-05,StandardScaler,heart_disease
328,0.9444444444444444,NB,0.00027179718017578125,7.557868957519531e-05,StandardScaler,iris
329,0.6496666666666666,NB,0.002377748489379883,0.002906322479248047,StandardScaler,letter_recognition
330,0.9122807017543859,NB,0.0007276535034179688,0.0004782676696777344,ParetoScaling,breast_cancer_wisconsin_diagnostic
331,0.926509186351706,NB,0.0006773471832275391,0.0003323554992675781,ParetoScaling,breast_cancer_wisconsin_original
332,0.46153846153846156,NB,0.0005824565887451172,0.0003628730773925781,ParetoScaling,glass_identification
333,0.4065934065934066,NB,0.0006060600280761719,0.00038170814514160156,ParetoScaling,heart_disease
334,0.9444444444444444,NB,0.0005826950073242188,0.0003542900085449219,ParetoScaling,iris
335,0.6496666666666666,NB,0.0027751922607421875,0.0032134056091308594,ParetoScaling,letter_recognition
336,0.9122807017543859,NB,0.0007321834564208984,0.00047326087951660156,StandardStabilityScaling,breast_cancer_wisconsin_diagnostic
337,0.926509186351706,NB,0.0006821155548095703,0.0003330707550048828,StandardStabilityScaling,breast_cancer_wisconsin_original
338,0.47692307692307695,NB,0.0005919933319091797,0.0003573894500732422,StandardStabilityScaling,glass_identification
339,0.4175824175824176,NB,0.0006086826324462891,0.0003876686096191406,StandardStabilityScaling,heart_disease
340,0.9444444444444444,NB,0.0005776882171630859,0.00034999847412109375,StandardStabilityScaling,iris
341,0.6496666666666666,NB,0.002745389938354492,0.003217458724975586,StandardStabilityScaling,letter_recognition
342,0.9239766081871345,NB,0.0007262229919433594,0.0004801750183105469,MeanCentered,breast_cancer_wisconsin_diagnostic
343,0.9186351706036745,NB,0.0006783008575439453,0.00033545494079589844,MeanCentered,breast_cancer_wisconsin_original
344,0.46153846153846156,NB,0.00058746337890625,0.0003695487976074219,MeanCentered,glass_identification
345,0.45054945054945056,NB,0.0006086826324462891,0.0003991127014160156,MeanCentered,heart_disease
346,0.9444444444444444,NB,0.0005755424499511719,0.0003535747528076172,MeanCentered,iris
347,0.6496666666666666,NB,0.002759695053100586,0.0033571720123291016,MeanCentered,letter_recognition
348,0.9239766081871345,NB,0.0005946159362792969,0.0003077983856201172,None,breast_cancer_wisconsin_diagnostic
349,0.9186351706036745,NB,0.0006806850433349609,0.0003151893615722656,None,breast_cancer_wisconsin_original
350,0.46153846153846156,NB,0.0005514621734619141,0.0003082752227783203,None,glass_identification
351,0.45054945054945056,NB,0.0005829334259033203,0.0003421306610107422,None,heart_disease
352,0.9444444444444444,NB,0.0005362033843994141,0.0003120899200439453,None,iris
353,0.6496666666666666,NB,0.003053903579711914,0.003634929656982422,None,letter_recognition
354,0.9122807017543859,NB,0.00031495094299316406,7.343292236328125e-05,RobustScaler,breast_cancer_wisconsin_diagnostic
355,0.926509186351706,NB,0.00040602684020996094,8.7738037109375e-05,RobustScaler,breast_cancer_wisconsin_original
356,0.46153846153846156,NB,0.00032806396484375,0.00010561943054199219,RobustScaler,glass_identification
357,0.38461538461538464,NB,0.00030732154846191406,9.274482727050781e-05,RobustScaler,heart_disease
358,0.9444444444444444,NB,0.00026416778564453125,7.009506225585938e-05,RobustScaler,iris
359,0.6496666666666666,NB,0.0023832321166992188,0.0032432079315185547,RobustScaler,letter_recognition
360,0.9239766081871345,NB,0.0003063678741455078,7.319450378417969e-05,QuantileTransformer,breast_cancer_wisconsin_diagnostic
361,0.9195100612423447,NB,0.00042724609375,8.893013000488281e-05,QuantileTransformer,breast_cancer_wisconsin_original
362,0.6307692307692307,NB,0.00034427642822265625,0.000125885009765625,QuantileTransformer,glass_identification
363,0.3516483516483517,NB,0.00031304359436035156,9.369850158691406e-05,QuantileTransformer,heart_disease
364,1.0,NB,0.00028133392333984375,7.128715515136719e-05,QuantileTransformer,iris
365,0.6455,NB,0.002656698226928711,0.0030612945556640625,QuantileTransformer,letter_recognition
366,0.9298245614035088,NB,0.0008847713470458984,0.0006887912750244141,DecimalScaling,breast_cancer_wisconsin_diagnostic
367,0.884514435695538,NB,0.0009062290191650391,0.0003993511199951172,DecimalScaling,breast_cancer_wisconsin_original
368,0.46153846153846156,NB,0.00069427490234375,0.0004622936248779297,DecimalScaling,glass_identification
369,0.38461538461538464,NB,0.0006761550903320312,0.0003998279571533203,DecimalScaling,heart_disease
370,0.9444444444444444,NB,0.0006020069122314453,0.00036787986755371094,DecimalScaling,iris
371,0.6496666666666666,NB,0.0028531551361083984,0.003287076950073242,DecimalScaling,letter_recognition
372,0.9122807017543859,NB,0.0007929801940917969,0.0004968643188476562,TanhTransformer,breast_cancer_wisconsin_diagnostic
373,0.926509186351706,NB,0.0006678104400634766,0.0003504753112792969,TanhTransformer,breast_cancer_wisconsin_original
374,0.46153846153846156,NB,0.0005941390991210938,0.0003571510314941406,TanhTransformer,glass_identification
375,0.37362637362637363,NB,0.0006227493286132812,0.0003807544708251953,TanhTransformer,heart_disease
376,0.9444444444444444,NB,0.0005860328674316406,0.0003542900085449219,TanhTransformer,iris
377,0.6496666666666666,NB,0.0028276443481445312,0.0033059120178222656,TanhTransformer,letter_recognition
378,0.9181286549707602,NB,0.0007450580596923828,0.0004799365997314453,LogisticSigmoidTransformer,breast_cancer_wisconsin_diagnostic
379,0.9238845144356955,NB,0.0006663799285888672,0.00034046173095703125,LogisticSigmoidTransformer,breast_cancer_wisconsin_original
380,0.47692307692307695,NB,0.0006110668182373047,0.00035381317138671875,LogisticSigmoidTransformer,glass_identification
381,0.37362637362637363,NB,0.0006103515625,0.00038123130798339844,LogisticSigmoidTransformer,heart_disease
382,0.9629629629629629,NB,0.0005795955657958984,0.00035119056701660156,LogisticSigmoidTransformer,iris
383,0.6506666666666666,NB,0.002810955047607422,0.0032873153686523438,LogisticSigmoidTransformer,letter_recognition
384,0.9181286549707602,NB,0.000743865966796875,0.0004773139953613281,HyperbolicTangentTransformer,breast_cancer_wisconsin_diagnostic
385,0.9238845144356955,NB,0.0006723403930664062,0.0003387928009033203,HyperbolicTangentTransformer,breast_cancer_wisconsin_original
386,0.47692307692307695,NB,0.0006144046783447266,0.00035953521728515625,HyperbolicTangentTransformer,glass_identification
